,TP9,AF7,AF8,TP10,Right AUX,timestamps
297,-1000.000,-52.734,-32.227,-1000.000,0.000,1731707844.226
298,-1000.000,-27.344,-26.367,-1000.000,0.000,1731707844.230
299,-1000.000,-22.949,-20.508,-1000.000,0.000,1731707844.234
300,0.000,-17.090,-24.902,-1000.000,0.000,1731707844.240
301,0.000,-20.020,-28.320,-1000.000,0.000,1731707844.244
302,0.000,-26.367,-31.250,-1000.000,0.000,1731707844.247
303,0.000,-19.531,-30.762,-1000.000,0.000,1731707844.251
304,0.000,-13.672,-27.344,-1000.000,0.000,1731707844.255
305,0.000,-17.578,-35.156,-1000.000,0.000,1731707844.258
306,0.000,-19.043,-35.645,-1000.000,0.000,1731707844.262
307,0.000,-32.715,-29.297,-1000.000,0.000,1731707844.266
308,0.000,-36.621,-26.855,-1000.000,0.000,1731707844.269
309,0.000,-25.879,-27.832,-1000.000,0.000,1731707844.273
310,0.000,-29.297,-32.715,-1000.000,0.000,1731707844.277
311,0.000,-20.020,-33.203,-1000.000,0.000,1731707844.280
312,-1000.000,-12.207,-26.855,-1000.000,0.000,1731707844.283
313,-1000.000,-13.672,-21.484,-1000.000,0.000,1731707844.287
314,-1000.000,-16.113,-23.438,-1000.000,0.000,1731707844.290
315,-1000.000,-16.602,-26.855,-1000.000,0.000,1731707844.294
316,-1000.000,-18.066,-25.879,-1000.000,0.000,1731707844.298
317,-1000.000,-11.230,-22.949,-1000.000,0.000,1731707844.301
318,-1000.000,-0.488,-24.414,-1000.000,0.000,1731707844.305
319,-1000.000,-37.109,-27.344,-1000.000,0.000,1731707844.309
320,-1000.000,-46.875,-28.809,-1000.000,0.000,1731707844.312
321,-1000.000,-14.648,-22.949,-1000.000,0.000,1731707844.316
322,-1000.000,-19.531,-23.438,-1000.000,0.000,1731707844.320
323,-1000.000,-28.809,-29.297,-1000.000,0.000,1731707844.323
324,-1000.000,-22.949,-31.250,-1000.000,0.000,1731707844.329
325,-372.559,-12.695,-28.809,-1000.000,0.000,1731707844.333
326,986.328,-5.371,-28.809,-1000.000,0.000,1731707844.337
327,-960.449,-9.766,-27.832,-1000.000,0.000,1731707844.341
328,-458.008,-26.855,-26.855,-1000.000,0.000,1731707844.344
329,-700.195,-22.461,-29.785,-1000.000,0.000,1731707844.348
330,914.062,-29.785,-30.273,-1000.000,0.000,1731707844.352
331,-968.262,-61.035,-32.715,-1000.000,0.000,1731707844.355
332,-300.781,-41.504,-30.273,-1000.000,0.000,1731707844.359
333,-1000.000,-26.855,-33.203,-1000.000,0.000,1731707844.363
334,3.906,-19.043,-33.203,-1000.000,0.000,1731707844.366
335,-783.691,-9.766,-25.879,-1000.000,0.000,1731707844.370
336,270.020,-17.578,-25.391,-1000.000,0.000,1731707844.376
337,-1000.000,-25.391,-29.297,-1000.000,0.000,1731707844.380
338,-240.723,-13.184,-23.926,-1000.000,0.000,1731707844.383
339,-827.148,-8.301,-19.531,-1000.000,0.000,1731707844.387
340,692.871,-25.391,-20.996,-1000.000,0.000,1731707844.391
341,-915.039,-29.785,-26.367,-1000.000,0.000,1731707844.394
342,-261.719,-35.156,-35.156,-1000.000,0.000,1731707844.398
343,-952.637,-28.320,-37.598,-1000.000,0.000,1731707844.402
344,-873.535,-12.207,-35.645,-1000.000,0.000,1731707844.405
345,-86.426,-17.578,-34.180,-1000.000,0.000,1731707844.409
346,-593.262,-17.578,-37.598,-1000.000,0.000,1731707844.413
347,851.074,-14.648,-35.645,-1000.000,0.000,1731707844.416
348,-843.262,-16.113,-28.809,-1000.000,0.000,1731707844.422
349,471.680,-19.043,-28.809,-1000.000,0.000,1731707844.426
350,-978.516,-26.367,-26.367,-1000.000,0.000,1731707844.430
351,-41.504,-20.508,-26.855,-1000.000,0.000,1731707844.433
352,-843.262,-8.789,-25.879,-1000.000,0.000,1731707844.437
353,851.562,-29.297,-27.832,-1000.000,0.000,1731707844.441
354,776.855,-41.992,-33.203,-1000.000,0.000,1731707844.444
355,917.480,-20.996,-34.668,-1000.000,0.000,1731707844.448
356,-903.809,-19.043,-36.621,-1000.000,0.000,1731707844.452
357,108.887,-32.227,-34.180,-1000.000,0.000,1731707844.455
358,-1000.000,-34.180,-29.297,-1000.000,0.000,1731707844.459
359,-177.734,-14.160,-33.203,-1000.000,0.000,1731707844.463
360,-937.500,-2.441,-32.227,-1000.000,0.000,1731707844.469
361,966.797,-11.719,-27.832,-1000.000,0.000,1731707844.473
362,780.762,-19.043,-29.297,-1000.000,0.000,1731707844.477
363,868.652,-15.625,-28.320,-1000.000,0.000,1731707844.481
364,919.922,-12.695,-31.738,-1000.000,0.000,1731707844.484
365,-865.234,-19.531,-31.250,-1000.000,0.000,1731707844.488
366,369.141,-19.531,-35.156,-1000.000,0.000,1731707844.492
367,-902.344,-23.438,-37.598,-1000.000,0.000,1731707844.495
368,355.957,-23.438,-27.344,-1000.000,0.000,1731707844.499
369,-857.910,-26.367,-23.926,-1000.000,0.000,1731707844.503
370,931.152,-25.391,-22.949,-1000.000,0.000,1731707844.506
371,-294.434,-20.020,-22.461,-1000.000,0.000,1731707844.510
372,-20.996,-19.531,-21.484,-1000.000,0.000,1731707844.517
373,-861.816,-13.672,-18.066,-1000.000,0.000,1731707844.520
374,925.293,-10.742,-18.555,-1000.000,0.000,1731707844.524
375,961.426,-19.043,-29.785,-1000.000,0.000,1731707844.528
376,971.191,-25.391,-33.691,-1000.000,0.000,1731707844.531
377,897.949,-19.043,-26.367,-1000.000,0.000,1731707844.535
378,-821.777,-18.066,-26.855,-1000.000,0.000,1731707844.539
379,41.016,-29.297,-32.227,-1000.000,0.000,1731707844.542
380,-547.852,-46.387,-28.320,-1000.000,0.000,1731707844.546
381,861.816,-41.504,-21.484,-1000.000,0.000,1731707844.550
382,-850.586,-25.879,-20.020,-1000.000,0.000,1731707844.554
383,610.840,-28.809,-20.020,-1000.000,0.000,1731707844.557
384,-649.414,-34.668,-20.508,-1000.000,0.000,1731707844.564
385,289.062,-23.926,-25.391,-1000.000,0.000,1731707844.567
386,-845.703,-10.254,-26.367,-1000.000,0.000,1731707844.571
387,881.348,-13.672,-27.344,-1000.000,0.000,1731707844.575
388,920.898,-20.020,-28.809,-1000.000,0.000,1731707844.578
389,939.453,-13.184,-25.879,-1000.000,0.000,1731707844.582
390,960.449,-12.207,-24.414,-1000.000,0.000,1731707844.586
391,-937.500,-21.973,-29.297,-1000.000,0.000,1731707844.590
392,-291.504,-36.621,-34.180,-1000.000,0.000,1731707844.593
393,-316.406,-32.227,-31.250,-1000.000,0.000,1731707844.597
394,-996.582,-18.555,-27.344,-1000.000,0.000,1731707844.601
395,-848.633,-20.508,-26.367,-1000.000,0.000,1731707844.604
396,0.000,-31.250,-31.738,-1000.000,0.000,1731707844.611
397,0.000,-35.156,-35.156,-1000.000,0.000,1731707844.614
398,0.000,-23.438,-25.391,-1000.000,0.000,1731707844.618
399,0.000,-14.648,-16.113,-1000.000,0.000,1731707844.622
400,0.000,-14.160,-23.438,-1000.000,0.000,1731707844.625
401,0.000,-15.137,-26.367,-1000.000,0.000,1731707844.629
402,0.000,-13.184,-24.902,-1000.000,0.000,1731707844.633
403,0.000,-18.066,-27.832,-1000.000,0.000,1731707844.637
404,0.000,-35.156,-31.738,-1000.000,0.000,1731707844.640
405,0.000,-36.621,-36.133,-1000.000,0.000,1731707844.644
406,0.000,-33.691,-28.809,-1000.000,0.000,1731707844.648
407,0.000,-34.668,-17.578,-1000.000,0.000,1731707844.651
408,-1000.000,-34.180,-21.973,-1000.000,0.000,1731707844.657
409,-1000.000,-33.203,-26.855,-1000.000,0.000,1731707844.661
410,-1000.000,-30.273,-26.855,-1000.000,0.000,1731707844.665
411,-1000.000,-31.738,-24.902,-1000.000,0.000,1731707844.669
412,-1000.000,-32.227,-22.949,-1000.000,0.000,1731707844.672
