,TP9,AF7,AF8,TP10,Right AUX,timestamps
384,0.000,-16.113,1.465,-766.602,0.000,1731708175.367
385,0.000,-7.324,4.883,602.539,0.000,1731708175.370
386,0.000,-1.953,-1.465,-943.359,0.000,1731708175.374
387,0.000,-7.324,-10.742,911.621,0.000,1731708175.378
388,0.000,-10.254,-6.836,981.934,0.000,1731708175.381
389,0.000,-5.859,-4.883,948.730,0.000,1731708175.385
390,0.000,-1.465,-15.137,-967.773,0.000,1731708175.389
391,0.000,-14.648,-14.160,722.168,0.000,1731708175.393
392,0.000,-27.344,-6.836,576.172,0.000,1731708175.396
393,0.000,-29.297,-1.465,941.406,0.000,1731708175.400
394,0.000,-24.902,-2.930,-903.809,0.000,1731708175.404
395,0.000,-30.762,-15.625,29.297,0.000,1731708175.407
396,-1000.000,-44.922,-11.719,-1000.000,0.000,1731708175.413
397,-971.680,-44.434,-3.906,-966.309,0.000,1731708175.417
398,-980.469,-35.156,1.953,-988.770,0.000,1731708175.421
399,-1000.000,-25.391,8.789,-982.422,0.000,1731708175.425
400,-938.965,-21.973,-9.766,-980.957,0.000,1731708175.428
401,-1000.000,-20.508,-15.137,-1000.000,0.000,1731708175.432
402,-204.590,-0.977,-8.301,113.281,0.000,1731708175.436
403,-955.078,1.953,-27.832,-921.387,0.000,1731708175.439
404,951.660,-18.066,-37.109,924.316,0.000,1731708175.443
405,958.984,-20.020,-1.953,969.238,0.000,1731708175.447
406,904.785,-23.926,9.277,905.273,0.000,1731708175.451
407,-918.945,-29.785,-16.602,-896.484,0.000,1731708175.454
408,590.820,-30.273,-32.227,319.336,0.000,1731708175.460
409,-854.492,-25.391,-32.227,-1000.000,0.000,1731708175.464
410,-1000.000,-29.297,-21.973,-1000.000,0.000,1731708175.468
411,-947.754,-43.457,-18.066,-964.355,0.000,1731708175.471
412,-947.754,-35.156,-24.902,-946.777,0.000,1731708175.475
413,-1000.000,-23.926,-20.020,-1000.000,0.000,1731708175.479
414,-314.941,1.465,-15.625,-241.211,0.000,1731708175.482
415,-993.164,-2.441,-20.508,-966.309,0.000,1731708175.486
416,969.238,-24.902,-20.020,958.008,0.000,1731708175.490
417,935.059,-10.742,-22.461,943.359,0.000,1731708175.494
418,979.980,-11.719,-23.438,970.215,0.000,1731708175.497
419,907.227,-25.391,-18.555,922.363,0.000,1731708175.501
420,-891.113,-29.785,-18.555,-917.969,0.000,1731708175.507
421,188.965,-28.809,-31.738,67.383,0.000,1731708175.511
422,-1000.000,-30.762,-27.344,-1000.000,0.000,1731708175.514
423,-984.375,-28.320,-6.836,-972.168,0.000,1731708175.518
424,-974.121,-39.062,-25.391,-979.004,0.000,1731708175.522
425,-944.336,-38.574,-37.598,-946.777,0.000,1731708175.525
426,-1000.000,-30.762,-26.367,-1000.000,0.000,1731708175.529
